file_id,fold,speaker_id,state,sex,tier,sentence_id,reference,total_terms,correct_greedy,correct_sf,correct_dra,mter_greedy,mter_sf,mter_dra
S04_PL_M_010,1,S04,Plateau,M,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,3,3,66.66666666666667,0.0,0.0
S06_GO_M_010,1,S06,Gombe,M,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,2,2,66.66666666666667,33.333333333333336,33.333333333333336
S08_TA_M_010,1,S08,Taraba,M,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,0,1,1,100.0,66.66666666666667,66.66666666666667
S10_YO_M_010,1,S10,Yobe,M,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,2,2,66.66666666666667,33.333333333333336,33.333333333333336
S11_KD_M_010,1,S11,Kaduna,M,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,1,1,66.66666666666667,66.66666666666667,66.66666666666667
S13_GO_F_010,1,S13,Gombe,F,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,3,3,66.66666666666667,0.0,0.0
S18_GO_F_010,1,S18,Gombe,F,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,2,3,3,33.333333333333336,0.0,0.0
S20_BA_F_010,1,S20,Bauchi,F,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,0,2,2,100.0,33.333333333333336,33.333333333333336
S21_BA_F_010,1,S21,Bauchi,F,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,2,2,2,33.333333333333336,33.333333333333336,33.333333333333336
S23_GO_F_010,1,S23,Gombe,F,2,10,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,3,1,3,3,66.66666666666667,0.0,0.0
S04_PL_M_016,1,S04,Plateau,M,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,1,1,1,50.0,50.0,50.0
S06_GO_M_016,1,S06,Gombe,M,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,1,1,1,50.0,50.0,50.0
S08_TA_M_016,1,S08,Taraba,M,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,0,0,100.0,100.0,100.0
S10_YO_M_016,1,S10,Yobe,M,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,0,0,100.0,100.0,100.0
S11_KD_M_016,1,S11,Kaduna,M,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,1,1,100.0,50.0,50.0
S13_GO_F_016,1,S13,Gombe,F,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,1,1,100.0,50.0,50.0
S18_GO_F_016,1,S18,Gombe,F,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,1,1,100.0,50.0,50.0
S20_BA_F_016,1,S20,Bauchi,F,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,0,0,100.0,100.0,100.0
S21_BA_F_016,1,S21,Bauchi,F,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,2,2,2,0.0,0.0,0.0
S23_GO_F_016,1,S23,Gombe,F,2,16,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,2,0,0,0,100.0,100.0,100.0
S04_PL_M_017,1,S04,Plateau,M,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,2,2,2,33.333333333333336,33.333333333333336,33.333333333333336
S06_GO_M_017,1,S06,Gombe,M,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,1,1,1,66.66666666666667,66.66666666666667,66.66666666666667
S08_TA_M_017,1,S08,Taraba,M,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,1,3,3,66.66666666666667,0.0,0.0
S10_YO_M_017,1,S10,Yobe,M,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,2,3,3,33.333333333333336,0.0,0.0
S11_KD_M_017,1,S11,Kaduna,M,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,2,2,2,33.333333333333336,33.333333333333336,33.333333333333336
S13_GO_F_017,1,S13,Gombe,F,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,2,2,2,33.333333333333336,33.333333333333336,33.333333333333336
S18_GO_F_017,1,S18,Gombe,F,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,3,3,3,0.0,0.0,0.0
S20_BA_F_017,1,S20,Bauchi,F,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,1,1,1,66.66666666666667,66.66666666666667,66.66666666666667
S21_BA_F_017,1,S21,Bauchi,F,2,17,ina bukatar allurar rigakafi kafin in tafi in nayi tafiya kasar waje,3,3,3,3,0.0,0.0,0.0
