fold,file_id,speaker_id,state,sex,sentence_id,sentence_id_norm,tier,reference,hyp_greedy,hyp_sf,hyp_dra,hyp_general_sf,wer_greedy,wer_sf,wer_dra,wer_general_sf
1,S04_PL_M_010,S04,Plateau,M,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin so uku a kowace rana bayan cin abinci,ka sha kwayar maganin sau uku a kowace rana bayan cin abinci,ka sha kwayar maganin sau uku a kowace rana bayan cin abinci,ka sha kwayar maganin sa uku a kowace rana bayan cin abinci,36.36363636363637,18.181818181818183,18.181818181818183,27.27272727272727
1,S06_GO_M_010,S06,Gombe,M,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,kasha kwaya maganin sau ɗuku a kowace rana bayan abinci,ka sha kwaya maganin sau uku a kowace rana bayan abinci,ka sha kwaya maganin sau uku a kowace rana bayan abinci,ka sha kwaya maganin sau uku a kowace rana bayan abinci,36.36363636363637,9.090909090909092,9.090909090909092,9.090909090909092
1,S08_TA_M_010,S08,Taraba,M,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,kashakwayan magani sau uku a kauwace rana bayan abinci,kashakwayan maganin sau uku a kowace rana bayan abinci,kashakwayan maganin sau uku a kowace rana bayan abinci,kashakwayan maganin sau uku a kowace rana bayan abinci,45.45454545454545,27.27272727272727,27.27272727272727,27.27272727272727
1,S10_YO_M_010,S10,Yobe,M,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakoyar maganin sau uku a kowace rana bayan abinci,ka sha koyar maganin sau uku a kowace rana bayan abinci,ka sha koyar maganin sau uku a kowace rana bayan abinci,ka sha koyar maganin sau uku a kowace rana bayan abinci,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092
1,S11_KD_M_010,S11,Kaduna,M,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau uku a kowace rana bayan abinci,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183
1,S13_GO_F_010,S13,Gombe,F,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092
1,S18_GO_F_010,S18,Gombe,F,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayan maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092
1,S20_BA_F_010,S20,Bauchi,F,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar magani sau uku a kowace rana bayan abinci,ka sha kwayar magani sau uku a kowace rana bayan abinci,ka sha kwayar magani sau uku a kowace rana bayan abinci,ka sha kwayar maganin sau uku a kowace rana bayan abinci,27.27272727272727,18.181818181818183,18.181818181818183,9.090909090909092
1,S21_BA_F_010,S21,Bauchi,F,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka sha kwayar magani sau uku a kowace rana bayan aminci,ka sha kwayar magani sau uku a kowace rana bayan aminci,ka sha kwayar magani sau uku a kowace rana bayan aminci,ka sha kwayar maganin sau uku a kowace rana bayan aminci,27.27272727272727,27.27272727272727,27.27272727272727,18.181818181818183
1,S23_GO_F_010,S23,Gombe,F,10,010,2,ka sha ƙwayar maganin sau uku a kowace rana bayan abinci,ka shakwayar maganin sau'uku a kowace rana bayan cin abinci,ka sha kwayar maganin sau uku a kowace rana bayan cin abinci,ka sha kwayar maganin sau uku a kowace rana bayan cin abinci,ka sha kwayar maganin sau uku a kowace rana bayan cin abinci,45.45454545454545,18.181818181818183,18.181818181818183,18.181818181818183
1,S04_PL_M_016,S04,Plateau,M,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gane min cewa matsin jini na yayi yawa fiye da yadda ya kamata,an gane min cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an gane min cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an gane min cewa matsin jini na yayi yawa fiye da yadda ya kamata,35.714285714285715,28.57142857142857,28.57142857142857,35.714285714285715
1,S06_GO_M_016,S06,Gombe,M,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gane mina cewa mattun jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa masu jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa masu jinina ya yi yawa fiye da yadda ya kamata,an gane mana cewa matsu jinina ya yi yawa fiye da yadda ya kamata,21.428571428571427,7.142857142857142,7.142857142857142,21.428571428571427
1,S08_TA_M_016,S08,Taraba,M,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mun cewa maci jini na yayi yawa fiye yadda ya kamata,an gaya mun cewa mace jini na ya yi yawa fiye yadda ya kamata,an gaya mun cewa mata jini na ya yi yawa fiye yadda ya kamata,an gaya mun cewa mace jini na yayi yawa fiye yadda ya kamata,42.857142857142854,35.714285714285715,35.714285714285715,42.857142857142854
1,S10_YO_M_016,S10,Yobe,M,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gyamini cewa batsin jini na yayi yawa fiye da yadda ya kamata,an gyamini cewa batsin jini na ya yi yawa fiye da yadda ya kamata,an gyamini cewa batsin jini na ya yi yawa fiye da yadda ya kamata,an gyamini cewa basin jini na yayi yawa fiye da yadda ya kamata,42.857142857142854,35.714285714285715,35.714285714285715,42.857142857142854
1,S11_KD_M_016,S11,Kaduna,M,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gamini cewa matsi jini na ya yi yawa fiye da yadda ya kamata,an ga mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an ga mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an ga mini cewa matsin jini na yayi yawa fiye da yadda ya kamata,35.714285714285715,21.428571428571427,21.428571428571427,28.57142857142857
1,S13_GO_F_016,S13,Gombe,F,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsi jini na yayi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an gaya mini cewa matsin jini na yayi yawa fiye da yadda ya kamata,28.57142857142857,14.285714285714285,14.285714285714285,21.428571428571427
1,S18_GO_F_016,S18,Gombe,F,16,016,2,an gaya mini cewa matsin jinina ya yi yawa fiye da yadda ya kamata,an giya mini cewa mas injini na yayi yawa fiye da yada ya kamata,an giya mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an giya mini cewa matsin jini na ya yi yawa fiye da yadda ya kamata,an giya mini cewa masa in jini na yayi yawa fiye da yadda ya kamata,42.857142857142854,21.428571428571427,21.428571428571427,42.857142857142854
